City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,n'zeto,-7.2312,12.8666,21.31,90,0,3.67,AO,1721759452
109,pandan,14.0453,124.1694,26.99,84,100,9.46,PH,1721759453
110,ancud,-41.8697,-73.8203,10.3,88,74,6.98,CL,1721759455
111,amta,22.58,88.0083,28.96,85,85,2.58,IN,1721759456
112,afaahiti,-17.75,-149.2833,23.93,69,88,6.91,PF,1721759457
113,utrik,11.2278,169.8474,27.74,79,38,6.97,MH,1721759458
114,mazabuka,-15.856,27.748,18.22,34,0,2.94,ZM,1721759459
115,gadzhiyevo,69.2551,33.3362,19.25,61,100,1.57,RU,1721759460
116,hafar al-batin,28.4328,45.9708,38.32,11,0,3.09,SA,1721759267
117,bilibino,68.0546,166.4372,16.25,92,100,1.31,RU,1721759463
118,shiyan,32.6475,110.7781,26.7,93,100,2.05,CN,1721759464
119,california,38.3004,-76.5074,30.92,61,75,2.06,US,1721759222
120,kibondo,-3.5864,30.7203,20.29,28,0,1.41,TZ,1721759466
121,olonkinbyen,70.9221,-8.7187,3.91,93,100,7.61,SJ,1721759468
122,conduaga,8.862,117.4893,26.55,89,100,2.69,PH,1721759469
123,el porvenir,13.7617,-87.3458,30.63,40,36,3.02,HN,1721759470
124,cheremukhovo,60.3484,59.9851,10.49,99,100,2.96,RU,1721759472
125,udachny,66.4167,112.4,9.5,62,100,6.56,RU,1721759473
126,rio grande,-32.035,-52.0986,23.06,79,51,3.43,BR,1721759475
127,vilyuysk,63.7553,121.6247,10.71,63,100,3.08,RU,1721759476
128,hamilton,39.1834,-84.5333,30.65,58,75,5.66,US,1721759396
129,nieuw amsterdam,5.8833,-55.0833,34.01,46,40,1.03,SR,1721759478
130,ta`u,-14.2336,-169.5144,26.5,68,59,8.79,AS,1721759479
131,dryden,49.7833,-92.7503,17.16,72,100,4.12,CA,1721759481
132,victoria falls,-17.9235,25.843,22.06,26,0,2.06,ZW,1721759482
133,whitehorse,60.7161,-135.0538,14.5,100,100,2.06,CA,1721759483
134,balkanabat,39.5108,54.3671,29.36,54,0,3.19,TM,1721759298
135,prieska,-29.6641,22.7474,13.12,19,10,3.26,ZA,1721759485
136,iskateley,67.6803,53.1512,8.53,84,0,4.23,RU,1721759487
137,yellowknife,62.456,-114.3525,26.9,45,100,4.12,CA,1721759489
138,lucheng,31.2336,117.2806,26.82,77,39,1.23,CN,1721759490
139,kuusamo,65.9667,29.1833,24.02,41,0,2.06,FI,1721759492
140,haiku-pauwela,20.9219,-156.3051,26.2,80,20,8.23,US,1721759493
141,qarazhal,48.0078,70.7903,23.64,52,24,4.62,KZ,1721759494
142,new norfolk,-42.7826,147.0587,10.72,67,100,1.33,AU,1721759495
143,shar,49.5886,81.0453,21.53,51,100,2.69,KZ,1721759496
144,flagstaff,35.1981,-111.6513,29.2,35,17,1.34,US,1721759498
